model,fold,n_test,actual_hikes,predicted_hikes,accuracy,precision,recall,f1
xgboost,1,9,0,0,1.0,0.0,0.0,0.0
xgboost,2,9,0,0,1.0,0.0,0.0,0.0
xgboost,3,9,6,0,0.3333333333333333,0.0,0.0,0.0
xgboost,4,9,0,0,1.0,0.0,0.0,0.0
xgboost,5,9,0,0,1.0,0.0,0.0,0.0
logistic_regression,1,9,0,0,1.0,0.0,0.0,0.0
logistic_regression,2,9,0,7,0.2222222222222222,0.0,0.0,0.0
logistic_regression,3,9,6,3,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.4444444444444444
logistic_regression,4,9,0,0,1.0,0.0,0.0,0.0
logistic_regression,5,9,0,0,1.0,0.0,0.0,0.0
